Fiscal_Year,Tax Levy(inmillion),Collections,Cancellations,AbatementsandDiscounts,Uncollected Balance 6/30/2011
1994,8113.2,92.5,7.3,0.7,4.2
1995,7889.7,92.5,5.8,2.2,5.0
1996,7871.4,92.6,3.9,2.6,3.8
1997,7835.1,94.7,3.1,2.3,3.7
1998,7890.0,94.9,1.9,3.3,3.5
1999,8099.3,94.1,2.5,4.2,3.4
2000,8374.3,94.1,3.3,4.2,3.1
2001,8730.3,93.3,2.6,4.4,2.9
2002 ,9271.2,94.1,4.2,4.2,0.1
2003 ,10816.5,92.7,4.7,4.0,0.1
2004 ,12250.7,93.3,4.8,3.9,0.1
2005 ,12720.0,92.3,4.9,4.0,0.1
2006 ,13668.1,93.6,4.4,4.2,0.2
2007 ,14291.2,93.8,4.7,4.4,0.2
2008 ,14356.2,93.6,4.4,4.1,0.3
2009 ,15327.5,96.4,4.5,4.5,0.5
2010 ,17588.1,92.2,3.9,4.1,0.9
2011 ,18323.7,91.9,2.9,4.1,2.1
