fiscal_year,PIT_revenue,sales_tax_revenue,total receipt,other,investment earnings,total revenue,interest,pricipal,total,operating_expenses,total_to_be_covered
1998,4042103,2001750,6043853,0,0,6043853,11147,0,11147,0,11147
1999,5593874,3242000,8835874,0,0,8835874,127961,0,127961,0,127961
2000,5583466,3433000,9016466,0,0,9016466,214046,41785,255831,0,255831
2001,5582545,3714000,9296545,0,0,9296545,344428,73970,418398,0,418398
2002,4529921,3408000,7937921,0,2779,7940700,367029,117535,484564,4038,488602
2003,4489749,3289000,7778749,624000,2598,8405347,467803,107875,575678,9390,585068
2004,5581408,3485000,9066408,400000,7340,9473748,508033,179510,687543,11328,698871
2005,6521398,4370000,10891398,1147242,16157,12054797,552282,389260,941542,11509,953051
2006,7333813,4427000,11760813,0,38606,11799419,572723,373245,945968,9595,955563
2007,7719777,4627000,12346777,1264215,12523,13623515,579949,339575,919524,8848,928372
2008,8814965,4886000,13700965,545747,19312,14266024,589559,279678,869237,8768,878005
2009,6618177,4746000,11364177,645747,5858,12015782,541641,156780,698421,8215,706636
2010,6874992,4940000,11814992,374306,1441,12190739,516895,295260,812155,11661,823816
2011,7672070,5591000,13263070,852562,373,14116005,671577,376210,1047787,18005,1065792
